filepath,label
C:/Users/Admin/Downloads/archive (1)\Normal\normal (930).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (131).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (986).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (702).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (698).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (752).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (108).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (888).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (103).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1038).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (897).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (803).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1002).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (650).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1014).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (946).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (589).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (775).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (816).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (90).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (957).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (128).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (789).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (639).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (729).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (955).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (781).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (826).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (805).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (833).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (854).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1030).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (989).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (887).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (976).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1109).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1001).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (142).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1100).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (162).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (156).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (42).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (836).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1041).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (881).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1055).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (625).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (908).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (92).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1113).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (995).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (750).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (43).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1118).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (792).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (771).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (917).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (847).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1066).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (17).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (900).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1025).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1071).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (107).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (809).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (10).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (190).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (91).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (51).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (626).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (187).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (919).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (774).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (737).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (648).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1067).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (57).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (677).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (200).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (972).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1043).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (58).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (55).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (79).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (910).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (866).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (567).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (925).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (566).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (855).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (872).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (850).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (921).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (159).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1005).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (183).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (952).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1095).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (727).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (592).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (12).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1073).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (172).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (864).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (842).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (973).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (101).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (879).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (871).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (949).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1093).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (127).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (192).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (75).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (693).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (848).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (662).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1065).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (869).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1015).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (704).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1088).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (615).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (52).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (96).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (604).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (614).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (747).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (72).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (933).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (839).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (697).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (759).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (926).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (788).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (13).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1080).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (564).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (863).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1119).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1114).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1049).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (613).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1115).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1053).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (47).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (25).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (793).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (951).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (665).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (820).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (138).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (963).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (171).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1016).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (814).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (105).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (868).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (969).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (794).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (860).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (668).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (907).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (928).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (117).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (593).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (708).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1082).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (932).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (838).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (637).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (196).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (679).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (801).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (177).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (112).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1059).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1076).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (756).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (638).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (573).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (609).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (151).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (954).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (905).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (565).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (964).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (579).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (824).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (922).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (60).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (890).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (184).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (623).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (149).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (896).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (608).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (94).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (940).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1108).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (937).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (581).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (591).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1018).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (111).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (634).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (958).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (720).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (884).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (998).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (651).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (811).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (999).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (835).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (144).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (137).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (934).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (68).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (644).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1044).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (185).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (817).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (586).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (118).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (746).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (834).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (22).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1056).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (739).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (939).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1103).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (66).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (813).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (763).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (35).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (886).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (132).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1004).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (674).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (912).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (971).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (967).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (975).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (36).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1045).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (780).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (987).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (56).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1096).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1085).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (844).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1075).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1112).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (83).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (852).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1035).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (3).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (583).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (155).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (733).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (59).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (8).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (580).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (981).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1029).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (577).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (99).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (717).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (168).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (134).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (161).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (776).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (990).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (815).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (675).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (77).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (744).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1081).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (673).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (978).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (595).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (624).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (684).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (590).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (80).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1117).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1047).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (21).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1077).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (705).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1064).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (823).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (27).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (715).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (760).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (71).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1102).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (98).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (576).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (636).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (24).jpg,1
